Employee_ID,Name,Department,Gender,Age,Experience_Years,Salary,Performance_Score,Attendance_Percent,City
42,Ayesha Noor,Marketing,Female,,15,212772.0,1.9,65.0,Lahore
43,Faizan Ahmed,Operations,Female,30.0,20,151734.0,2.0,87.0,Peshawar
44,Imran Raza,Sales,Male,45.0,31,,1.2,97.0,Multan
45,Usman Ali,Sales,Female,22.0,3,95300.0,2.5,73.0,Multan
46,Imran Raza,Marketing,Female,25.0,7,105125.0,3.4,72.0,Multan
47,Bilal Khan,IT,Male,30.0,8,216795.0,1.6,72.0,Islamabad
48,Usman Ali,Sales,Female,27.0,16,35037.0,,69.0,Islamabad
49,Faizan Ahmed,Finance,Female,48.0,12,190177.0,3.8,75.0,Quetta
50,Bilal Khan,Operations,Female,29.0,8,161492.0,1.7,98.0,Islamabad
51,Sara Ahmed,Marketing,Female,53.0,5,238109.0,1.5,94.0,Multan
52,Ayesha Noor,HR,Male,43.0,26,125117.0,4.9,74.0,Islamabad
53,Faizan Ahmed,HR,Male,36.0,23,34779.0,1.1,82.0,Peshawar
54,Sana Iqbal,IT,Male,51.0,8,36444.0,2.3,96.0,Lahore
55,Sara Ahmed,Finance,Male,30.0,10,,1.1,67.0,Islamabad
56,Nida Malik,Sales,Female,53.0,34,223134.0,4.4,85.0,Quetta
57,Faizan Ahmed,HR,Female,,28,200599.0,,81.0,Peshawar
58,Nida Malik,IT,Female,24.0,7,97623.0,1.2,64.0,Karachi
59,Usman Ali,Operations,Male,48.0,16,149149.0,3.5,93.0,Karachi
60,Sara Ahmed,Finance,Male,53.0,6,164865.0,1.5,86.0,Quetta
61,Ayesha Noor,Finance,Male,35.0,11,192454.0,3.0,78.0,Lahore
62,Sana Iqbal,IT,Female,,14,158221.0,3.7,94.0,Multan
63,Sana Iqbal,IT,Female,,28,241293.0,1.6,79.0,Karachi
64,Bilal Khan,,Male,27.0,23,66347.0,3.0,97.0,Lahore
65,Sana Iqbal,IT,Male,48.0,13,155978.0,2.8,72.0,Islamabad
66,Zainab Ali,Sales,Female,44.0,10,77832.0,4.7,77.0,Islamabad
67,Imran Raza,Sales,Female,42.0,34,247786.0,5.0,77.0,Islamabad
68,Ali Khan,Marketing,Female,53.0,16,235623.0,3.6,60.0,Karachi
69,Ayesha Noor,Finance,Male,22.0,26,175738.0,4.4,91.0,Karachi
70,Sara Ahmed,Operations,Male,49.0,2,27696.0,3.6,84.0,Lahore
71,Zainab Ali,Finance,Male,53.0,1,,4.5,80.0,Lahore
72,Ayesha Noor,Finance,Male,51.0,3,37626.0,2.7,86.0,Multan
73,Sara Ahmed,Marketing,Female,48.0,17,203359.0,3.4,70.0,Quetta
74,Hina Shah,Sales,Female,28.0,19,78303.0,4.4,60.0,Multan
75,Hina Shah,Sales,Female,21.0,20,236922.0,4.7,,Islamabad
76,Nida Malik,IT,Male,58.0,13,69793.0,1.1,91.0,Peshawar
77,Ayesha Noor,Marketing,Female,26.0,7,187363.0,1.4,67.0,Peshawar
78,Hina Shah,IT,Female,24.0,1,71207.0,4.7,78.0,Islamabad
79,Sara Ahmed,Marketing,Female,27.0,25,58484.0,3.3,75.0,Quetta
80,Nida Malik,IT,Female,51.0,18,112765.0,5.0,94.0,Multan
81,Sana Iqbal,HR,Female,37.0,27,,4.2,61.0,Lahore
82,Sara Ahmed,Finance,Male,57.0,28,89495.0,4.3,71.0,Karachi
83,Nida Malik,Finance,Female,37.0,4,188323.0,2.5,88.0,Quetta
84,Ayesha Noor,Operations,Female,35.0,27,77807.0,2.0,69.0,Quetta
85,Zainab Ali,Sales,Male,40.0,25,232791.0,3.4,81.0,Islamabad
86,Bilal Khan,Operations,Male,29.0,4,131809.0,4.5,93.0,Lahore
87,Sana Iqbal,HR,Female,23.0,14,125584.0,3.9,80.0,Peshawar
88,Faizan Ahmed,Operations,Female,27.0,8,236688.0,2.9,96.0,Peshawar
89,Zainab Ali,Finance,Female,38.0,31,76774.0,4.0,64.0,Multan
90,Usman Ali,Sales,Female,59.0,25,99615.0,3.8,,Multan
91,Sara Ahmed,HR,Male,59.0,14,111262.0,4.7,91.0,Peshawar
92,Usman Ali,Finance,Female,28.0,3,207713.0,2.1,62.0,Quetta
93,Zainab Ali,IT,Male,49.0,19,174378.0,1.5,69.0,Multan
94,Nida Malik,Marketing,Female,36.0,26,227886.0,2.9,64.0,Karachi
95,Faizan Ahmed,HR,Female,59.0,20,,2.4,83.0,Lahore
96,Sana Iqbal,Sales,Female,34.0,21,82201.0,4.9,79.0,Karachi
97,Sana Iqbal,Operations,Male,23.0,6,61797.0,1.0,96.0,Peshawar
98,Sana Iqbal,Operations,Female,25.0,30,159135.0,4.7,90.0,Karachi
99,Faizan Ahmed,HR,Female,35.0,16,68147.0,,76.0,Quetta
100,Ali Khan,Sales,Male,45.0,6,214899.0,1.2,83.0,Islamabad
101,Faizan Ahmed,,Female,56.0,18,94428.0,4.6,77.0,Karachi
102,Bilal Khan,Sales,Male,42.0,27,108657.0,2.9,85.0,Multan
103,Faizan Ahmed,Operations,Female,,9,176676.0,4.1,66.0,Karachi
104,Zainab Ali,Finance,Male,36.0,26,51484.0,1.3,73.0,Karachi
105,Ali Khan,IT,Male,46.0,12,198402.0,4.8,61.0,Multan
106,Sana Iqbal,Finance,Male,,1,153593.0,3.4,89.0,Peshawar
107,Zainab Ali,IT,Female,56.0,21,84321.0,4.6,76.0,Karachi
108,Zainab Ali,Operations,Male,38.0,19,205199.0,3.7,79.0,Lahore
109,Nasir Khan,Finance,Male,58.0,4,125758.0,3.1,69.0,Quetta
110,Imran Raza,Finance,Female,54.0,5,40828.0,1.7,83.0,Lahore
111,Ali Khan,HR,Male,32.0,34,152139.0,1.7,71.0,Lahore
112,Zainab Ali,Marketing,Female,33.0,0,29957.0,2.9,86.0,Peshawar
113,Imran Raza,Operations,Female,50.0,34,43671.0,4.5,74.0,Karachi
114,Imran Raza,Sales,Male,21.0,2,214652.0,1.5,68.0,Quetta
115,Ali Khan,Operations,Male,58.0,6,147838.0,5.0,77.0,Quetta
116,Nasir Khan,,Female,56.0,28,129596.0,,66.0,Quetta
117,Usman Ali,Sales,Male,33.0,14,151054.0,2.6,87.0,Karachi
118,Nida Malik,IT,Male,28.0,10,214622.0,2.0,95.0,Quetta
119,Bilal Khan,Sales,Male,29.0,17,99232.0,4.7,62.0,Quetta
120,Nida Malik,Sales,Male,26.0,3,,1.5,75.0,Islamabad
121,Faizan Ahmed,HR,Female,47.0,23,231203.0,2.4,95.0,Islamabad
122,Sana Iqbal,Finance,Female,44.0,10,100495.0,1.3,63.0,Quetta
123,Bilal Khan,Operations,Male,47.0,5,154798.0,4.8,94.0,Multan
124,Faizan Ahmed,Operations,Female,21.0,17,40383.0,3.5,68.0,Lahore
125,Zainab Ali,Sales,Male,36.0,14,33892.0,2.3,71.0,Multan
126,Sana Iqbal,Marketing,Male,23.0,2,52780.0,2.1,69.0,Karachi
127,Sara Ahmed,Operations,Male,32.0,16,144801.0,2.8,61.0,Lahore
128,Ali Khan,Sales,Male,37.0,32,119257.0,1.4,78.0,Lahore
129,Bilal Khan,IT,Female,22.0,33,175461.0,4.6,72.0,Karachi
130,Bilal Khan,IT,Male,,29,144478.0,3.0,92.0,Karachi
131,Zainab Ali,IT,Female,52.0,18,70081.0,3.9,60.0,Peshawar
132,Usman Ali,Sales,Male,43.0,8,,1.9,87.0,Peshawar
133,Imran Raza,HR,Female,27.0,30,38095.0,3.0,99.0,Peshawar
134,Sana Iqbal,Marketing,Female,54.0,26,226829.0,,65.0,Quetta
135,Zainab Ali,Sales,Female,21.0,24,51634.0,4.3,62.0,Multan
136,Hina Shah,HR,Female,52.0,6,204311.0,4.1,84.0,Quetta
137,Nasir Khan,,Male,31.0,6,,1.6,75.0,Quetta
138,Imran Raza,Operations,Female,41.0,19,199851.0,1.3,63.0,Multan
139,Ali Khan,Sales,Male,32.0,18,,4.3,67.0,Peshawar
140,Imran Raza,,Female,29.0,1,116084.0,1.4,98.0,Multan
141,Usman Ali,HR,Female,36.0,33,228942.0,3.2,,Karachi
142,Imran Raza,HR,Female,24.0,16,200824.0,3.1,97.0,Quetta
143,Ali Khan,HR,Male,28.0,23,84798.0,1.8,82.0,Karachi
144,Usman Ali,Operations,Female,32.0,8,62932.0,3.4,65.0,Multan
145,Nida Malik,Sales,Male,42.0,0,99569.0,3.0,75.0,Peshawar
146,Bilal Khan,HR,Male,49.0,27,146548.0,3.0,75.0,Karachi
147,Bilal Khan,IT,Male,23.0,14,147793.0,2.4,82.0,Quetta
148,Nasir Khan,Sales,Female,40.0,20,90820.0,4.4,75.0,Karachi
149,Faizan Ahmed,Operations,Female,28.0,14,,1.3,95.0,Peshawar
150,Nida Malik,IT,Female,26.0,22,112651.0,2.8,71.0,Quetta
151,Nida Malik,Finance,Female,35.0,1,81763.0,2.0,96.0,Quetta
152,Sana Iqbal,Sales,Female,42.0,8,109355.0,4.4,68.0,Peshawar
153,Imran Raza,Finance,Female,42.0,1,65291.0,1.9,77.0,Lahore
154,Bilal Khan,HR,Female,50.0,1,234320.0,4.1,68.0,Islamabad
155,Ali Khan,Operations,Male,24.0,17,124333.0,3.4,80.0,Peshawar
156,Ayesha Noor,HR,Female,25.0,16,188369.0,4.5,60.0,Multan
157,Ayesha Noor,Operations,Male,20.0,7,186663.0,3.4,82.0,Karachi
158,Usman Ali,Marketing,Male,47.0,33,179040.0,3.2,64.0,Lahore
159,Bilal Khan,HR,Female,37.0,33,49475.0,4.2,78.0,Peshawar
160,Bilal Khan,Finance,Female,43.0,4,78603.0,3.2,94.0,Islamabad
161,Nasir Khan,Operations,Male,32.0,28,44350.0,4.4,92.0,Quetta
162,Ayesha Noor,HR,Male,52.0,27,98291.0,1.2,77.0,Multan
163,Bilal Khan,Sales,Female,29.0,15,123857.0,3.0,99.0,Islamabad
164,Nasir Khan,Operations,Male,26.0,13,238259.0,4.3,73.0,Islamabad
165,Imran Raza,Operations,Male,,1,,4.4,79.0,Multan
166,Hina Shah,HR,Male,51.0,3,48519.0,4.3,72.0,Peshawar
167,Sana Iqbal,Marketing,Male,41.0,30,91776.0,3.4,75.0,Quetta
168,Sara Ahmed,HR,Female,35.0,25,94695.0,5.0,90.0,Quetta
169,Nida Malik,Finance,Female,43.0,26,109409.0,1.7,98.0,Islamabad
170,Faizan Ahmed,Finance,Male,33.0,33,166852.0,1.7,,Peshawar
171,Usman Ali,Operations,Male,,30,164733.0,1.1,79.0,Quetta
172,Hina Shah,Operations,Male,38.0,10,53512.0,5.0,,Quetta
173,Sana Iqbal,HR,Female,42.0,7,43403.0,2.4,99.0,Karachi
174,Sana Iqbal,Finance,Female,53.0,11,153812.0,4.0,72.0,Islamabad
175,Sana Iqbal,Finance,Male,59.0,34,67983.0,1.2,66.0,Lahore
176,Sana Iqbal,Marketing,Male,32.0,33,67549.0,2.2,81.0,Islamabad
177,Ayesha Noor,Sales,Male,58.0,12,120085.0,3.5,66.0,Peshawar
178,Nasir Khan,Marketing,Female,47.0,26,,3.1,79.0,Multan
179,Nida Malik,IT,Male,59.0,7,95849.0,1.8,96.0,Multan
180,Bilal Khan,Marketing,Male,35.0,20,138351.0,2.8,95.0,Quetta
181,Sana Iqbal,HR,Male,47.0,10,231860.0,1.4,63.0,Quetta
182,Faizan Ahmed,Sales,Male,23.0,21,225925.0,,65.0,Karachi
183,Bilal Khan,HR,Male,47.0,20,132915.0,1.4,62.0,Quetta
184,Ali Khan,IT,Female,31.0,27,50456.0,3.5,62.0,Quetta
185,Ali Khan,Sales,Female,35.0,2,214167.0,1.6,,Multan
186,Faizan Ahmed,Operations,Female,55.0,6,33461.0,3.2,95.0,Lahore
187,Nasir Khan,Finance,Male,39.0,13,184017.0,1.5,,Islamabad
188,Faizan Ahmed,Marketing,Female,45.0,14,202762.0,,75.0,Quetta
189,Ayesha Noor,HR,Male,45.0,8,95363.0,2.4,75.0,Peshawar
190,Faizan Ahmed,IT,Female,41.0,6,113907.0,4.0,71.0,Lahore
191,Imran Raza,Finance,Female,28.0,11,103439.0,3.6,97.0,Lahore
192,Bilal Khan,Marketing,Male,24.0,18,175959.0,4.7,79.0,Karachi
193,Hina Shah,Finance,Male,36.0,26,186175.0,4.7,90.0,Peshawar
194,Zainab Ali,Marketing,Male,53.0,17,104936.0,3.9,,Lahore
195,Nasir Khan,Operations,Female,21.0,12,147512.0,4.1,80.0,Islamabad
196,Faizan Ahmed,Sales,Male,26.0,0,190915.0,3.5,62.0,Peshawar
197,Usman Ali,Finance,Female,55.0,20,206536.0,,80.0,Islamabad
198,Ali Khan,Finance,Female,32.0,33,104726.0,,87.0,Karachi
199,Imran Raza,Finance,Female,39.0,12,109204.0,2.2,87.0,Karachi
200,Nida Malik,,Male,49.0,22,56869.0,2.4,64.0,Quetta
201,Sana Iqbal,IT,Male,49.0,0,148263.0,3.3,66.0,Islamabad
202,Zainab Ali,Marketing,Male,30.0,22,203924.0,3.9,64.0,Multan
203,Nasir Khan,Operations,Female,50.0,27,70301.0,2.6,68.0,Islamabad
204,Hina Shah,Finance,Female,22.0,31,203563.0,1.6,80.0,Karachi
205,Zainab Ali,Sales,Male,21.0,7,138568.0,2.8,79.0,Multan
206,Faizan Ahmed,IT,Female,22.0,25,139550.0,4.9,97.0,Islamabad
207,Ayesha Noor,Marketing,Female,,13,,1.9,99.0,Peshawar
208,Ali Khan,Sales,Female,36.0,23,142496.0,3.6,,Quetta
209,Ali Khan,Operations,Male,26.0,28,230603.0,4.9,76.0,Quetta
210,Nida Malik,Operations,Female,24.0,3,72331.0,2.5,87.0,Peshawar
211,Ayesha Noor,Marketing,Female,53.0,17,53911.0,4.6,90.0,Lahore
212,Sana Iqbal,Finance,Male,52.0,13,148976.0,4.5,92.0,Multan
213,Bilal Khan,Operations,Male,35.0,26,31521.0,2.4,91.0,Multan
214,Sara Ahmed,IT,Male,56.0,2,64123.0,1.4,91.0,Islamabad
215,Imran Raza,Sales,Male,22.0,29,208943.0,1.7,82.0,Lahore
216,Ali Khan,IT,Male,40.0,22,56514.0,2.5,80.0,Lahore
217,Usman Ali,Finance,Male,27.0,17,62539.0,4.8,84.0,Islamabad
218,Ali Khan,IT,Female,41.0,9,60464.0,2.1,92.0,Multan
219,Zainab Ali,IT,Female,24.0,11,70226.0,,62.0,Karachi
220,Ali Khan,HR,Female,36.0,7,202303.0,1.7,65.0,Islamabad
221,Nasir Khan,IT,Female,56.0,31,96332.0,4.9,87.0,Karachi
222,Ali Khan,Marketing,Male,33.0,16,58576.0,2.2,61.0,Peshawar
223,Sara Ahmed,Sales,Female,58.0,13,28293.0,3.5,91.0,Karachi
224,Sara Ahmed,HR,Male,47.0,8,132801.0,1.3,85.0,Lahore
225,Sana Iqbal,Sales,Male,50.0,25,159531.0,2.2,,Lahore
226,Hina Shah,Sales,Female,36.0,23,43803.0,,70.0,Lahore
227,Bilal Khan,Finance,Female,54.0,22,94760.0,1.0,69.0,Multan
228,Usman Ali,Finance,Male,59.0,30,32571.0,1.6,74.0,Multan
229,Ali Khan,HR,Male,41.0,1,244355.0,3.4,77.0,Karachi
230,Ali Khan,Operations,Male,48.0,17,50772.0,2.6,73.0,Lahore
231,Imran Raza,Finance,Male,29.0,15,78719.0,3.9,87.0,Quetta
232,Sara Ahmed,Finance,Female,37.0,28,39171.0,3.7,89.0,Islamabad
233,Usman Ali,Finance,Male,54.0,10,138627.0,4.2,72.0,Lahore
234,Sana Iqbal,Sales,Female,35.0,1,143212.0,4.5,79.0,Multan
235,Nida Malik,HR,Male,26.0,13,130055.0,4.3,61.0,Karachi
236,Hina Shah,Sales,Male,49.0,3,100253.0,2.8,84.0,Lahore
237,Bilal Khan,Marketing,Male,38.0,33,237019.0,2.2,71.0,Karachi
238,Ayesha Noor,Sales,Female,42.0,8,96773.0,3.0,84.0,Islamabad
239,Bilal Khan,Marketing,Male,27.0,6,165308.0,3.1,63.0,Karachi
240,Nasir Khan,IT,Female,36.0,16,199185.0,2.3,71.0,Islamabad
241,Zainab Ali,IT,Female,40.0,22,,3.2,66.0,Lahore
242,Nasir Khan,Marketing,Female,45.0,10,194159.0,1.4,97.0,Multan
243,Ali Khan,Marketing,Male,47.0,21,174323.0,1.9,99.0,Quetta
244,Hina Shah,Sales,Female,58.0,17,124679.0,4.0,91.0,Lahore
245,Zainab Ali,Marketing,Female,52.0,27,155328.0,1.7,65.0,Islamabad
246,Usman Ali,HR,Male,59.0,15,131434.0,1.6,86.0,Multan
247,Ayesha Noor,IT,Male,38.0,3,112321.0,2.1,94.0,Peshawar
248,Sara Ahmed,IT,Female,48.0,21,246795.0,2.5,80.0,Peshawar
249,Hina Shah,Operations,Female,39.0,10,130296.0,,79.0,Peshawar
250,Hina Shah,,Male,39.0,20,38850.0,2.5,78.0,Lahore
251,Nasir Khan,Finance,Female,29.0,15,110236.0,1.6,92.0,Karachi
252,Ali Khan,Finance,Female,31.0,8,202075.0,1.7,63.0,Quetta
253,Faizan Ahmed,Marketing,Female,52.0,34,108518.0,,78.0,Multan
254,Sana Iqbal,HR,Male,44.0,33,29949.0,2.6,87.0,Quetta
255,Nasir Khan,Finance,Female,,8,55581.0,,81.0,Multan
256,Hina Shah,Operations,Male,23.0,12,97108.0,4.2,83.0,Lahore
257,Imran Raza,Marketing,Male,23.0,5,182625.0,3.1,89.0,Islamabad
258,Ayesha Noor,HR,Male,28.0,3,185805.0,3.3,88.0,Lahore
259,Sana Iqbal,HR,Female,34.0,27,234197.0,3.2,69.0,Peshawar
260,Nasir Khan,Sales,Male,45.0,10,74790.0,2.6,91.0,Islamabad
261,Ayesha Noor,HR,Female,34.0,33,231722.0,4.9,68.0,Quetta
262,Imran Raza,Finance,Male,45.0,34,156717.0,1.1,84.0,Lahore
263,Nida Malik,Finance,Female,,4,227492.0,1.9,75.0,Karachi
264,Imran Raza,Marketing,Female,26.0,10,,2.1,74.0,Karachi
265,Imran Raza,Marketing,Female,51.0,11,102997.0,4.5,,Quetta
266,Ayesha Noor,HR,Male,31.0,18,182646.0,4.7,82.0,Islamabad
267,Bilal Khan,Operations,Female,54.0,12,107009.0,4.4,,Peshawar
268,Ayesha Noor,IT,Female,51.0,3,203543.0,2.7,66.0,Karachi
269,Faizan Ahmed,Sales,Male,28.0,13,203976.0,4.7,98.0,Karachi
270,Ali Khan,IT,Male,33.0,1,105957.0,1.4,70.0,Lahore
271,Zainab Ali,HR,Female,32.0,7,,3.6,83.0,Multan
272,Bilal Khan,HR,Male,52.0,21,123854.0,4.7,94.0,Quetta
273,Sara Ahmed,IT,Male,51.0,12,147939.0,4.0,,Karachi
274,Zainab Ali,Sales,Male,38.0,20,30224.0,2.1,87.0,Lahore
275,Ali Khan,IT,Female,49.0,20,202390.0,3.9,71.0,Islamabad
276,Nasir Khan,Marketing,Male,35.0,27,63349.0,2.2,82.0,Multan
277,Sana Iqbal,Finance,Female,31.0,32,86566.0,1.4,76.0,Karachi
278,Faizan Ahmed,Operations,Male,29.0,28,209402.0,3.9,96.0,Quetta
279,Faizan Ahmed,Marketing,Male,21.0,21,34435.0,1.7,77.0,Lahore
280,Sara Ahmed,Finance,Female,37.0,25,94015.0,1.4,68.0,Islamabad
281,Bilal Khan,Operations,Male,32.0,10,230745.0,3.2,94.0,Lahore
282,Nida Malik,,Male,48.0,10,83984.0,3.5,95.0,Peshawar
283,Imran Raza,Operations,Male,43.0,33,,1.2,77.0,Quetta
284,Bilal Khan,HR,Male,57.0,18,129395.0,1.0,79.0,Quetta
285,Sana Iqbal,Operations,Female,31.0,13,60401.0,4.5,80.0,Multan
286,Nida Malik,Sales,Female,,28,225109.0,1.5,79.0,Karachi
287,Faizan Ahmed,IT,Female,41.0,18,156961.0,3.3,65.0,Multan
288,Ayesha Noor,Sales,Female,55.0,20,164837.0,4.8,68.0,Lahore
289,Sana Iqbal,IT,Female,20.0,23,81398.0,3.0,88.0,Islamabad
290,Ali Khan,Marketing,Female,59.0,25,170269.0,1.6,88.0,Karachi
291,Sara Ahmed,Marketing,Female,53.0,11,61928.0,2.6,72.0,Quetta
292,Ali Khan,IT,Male,53.0,18,192891.0,3.5,95.0,Lahore
293,Sana Iqbal,Sales,Female,52.0,29,76382.0,4.1,86.0,Islamabad
294,Usman Ali,IT,Female,23.0,14,79337.0,3.4,65.0,Multan
295,Usman Ali,Operations,Female,57.0,2,220394.0,1.1,,Quetta
296,Nasir Khan,HR,Male,49.0,12,139531.0,1.6,91.0,Islamabad
297,Bilal Khan,Marketing,Female,39.0,8,212599.0,2.5,87.0,Multan
298,Faizan Ahmed,HR,Female,45.0,12,,3.8,60.0,Lahore
299,Faizan Ahmed,Operations,Female,34.0,15,104068.0,3.3,90.0,Islamabad
300,Imran Raza,Operations,Male,26.0,13,27283.0,1.2,89.0,Karachi
301,Imran Raza,,Female,26.0,7,193824.0,4.2,77.0,Karachi
302,Imran Raza,Marketing,Male,48.0,18,238603.0,3.4,88.0,Lahore
303,Ayesha Noor,Operations,Male,42.0,31,89446.0,4.5,97.0,Multan
304,Zainab Ali,Finance,Male,53.0,34,213853.0,2.7,82.0,Quetta
305,Hina Shah,HR,Male,39.0,22,122259.0,3.0,81.0,Peshawar
306,Zainab Ali,HR,Female,34.0,20,64605.0,2.6,61.0,Peshawar
307,Ali Khan,Finance,Male,52.0,17,245098.0,3.9,64.0,Peshawar
308,Zainab Ali,Sales,Male,36.0,13,71500.0,,74.0,Quetta
309,Ayesha Noor,HR,Female,,15,164787.0,3.9,91.0,Karachi
310,Nasir Khan,IT,Male,32.0,23,218978.0,2.2,65.0,Karachi
311,Ali Khan,Operations,Male,43.0,31,126881.0,3.5,73.0,Multan
312,Zainab Ali,Operations,Male,56.0,10,105275.0,2.4,83.0,Multan
313,Ayesha Noor,Finance,Male,26.0,10,178942.0,4.3,80.0,Karachi
314,Hina Shah,,Male,27.0,3,188413.0,1.2,73.0,Multan
315,Zainab Ali,Sales,Male,42.0,25,185543.0,1.2,71.0,Lahore
316,Ayesha Noor,HR,Female,33.0,4,167662.0,1.4,63.0,Multan
317,Imran Raza,Operations,Female,23.0,32,43645.0,1.8,80.0,Karachi
318,Faizan Ahmed,Marketing,Female,40.0,13,157095.0,1.2,76.0,Multan
319,Imran Raza,IT,Female,29.0,31,247763.0,1.3,,Karachi
320,Faizan Ahmed,Finance,Male,,6,49897.0,2.2,75.0,Karachi
321,Sara Ahmed,Marketing,Male,49.0,9,40437.0,1.4,77.0,Peshawar
322,Sara Ahmed,Sales,Male,49.0,1,232926.0,4.2,97.0,Islamabad
323,Sara Ahmed,Marketing,Female,35.0,9,68791.0,1.2,70.0,Karachi
324,Hina Shah,Marketing,Female,30.0,34,187647.0,4.6,91.0,Islamabad
325,Imran Raza,Sales,Male,41.0,20,73198.0,4.5,87.0,Multan
326,Faizan Ahmed,Marketing,Male,48.0,7,130539.0,1.8,75.0,Karachi
327,Ayesha Noor,Finance,Female,44.0,17,86619.0,1.3,93.0,Peshawar
328,Ali Khan,Operations,Female,,8,166691.0,1.4,89.0,Peshawar
329,Ayesha Noor,HR,Female,33.0,29,216396.0,3.2,97.0,Multan
330,Ali Khan,Marketing,Female,21.0,3,45141.0,3.4,81.0,Multan
331,Usman Ali,Finance,Male,32.0,34,153680.0,2.3,64.0,Multan
332,Ayesha Noor,,Female,22.0,13,,2.2,68.0,Islamabad
333,Zainab Ali,HR,Female,49.0,13,53094.0,3.1,72.0,Peshawar
334,Zainab Ali,Marketing,Male,,19,170538.0,2.2,,Lahore
335,Bilal Khan,Finance,Male,55.0,28,194193.0,4.7,82.0,Quetta
336,Imran Raza,Operations,Male,40.0,22,222511.0,2.5,86.0,Quetta
337,Ali Khan,Marketing,Female,38.0,20,67137.0,1.9,91.0,Multan
338,Ali Khan,Sales,Female,,30,131825.0,1.6,90.0,Karachi
339,Sana Iqbal,HR,Female,47.0,31,133385.0,3.5,92.0,Peshawar
340,Nasir Khan,Marketing,Female,23.0,6,41365.0,2.3,85.0,Quetta
341,Imran Raza,HR,Male,34.0,12,112930.0,1.8,77.0,Islamabad
342,Hina Shah,Finance,Male,20.0,22,40971.0,2.1,,Islamabad
343,Bilal Khan,IT,Female,35.0,7,154076.0,2.2,62.0,Multan
344,Hina Shah,Marketing,Female,39.0,11,133363.0,3.5,64.0,Islamabad
345,Hina Shah,,Female,52.0,15,199547.0,1.7,73.0,Karachi
