Employee_ID,Name,Gender,Age,Marital_Status,Education,Department,Job_Role,Experience_Years,Joining_Year,Promotion_Count,Salary,Bonus,Allowance,Tax,Net_Salary,Attendance_Percent,Absents,Late_Days,Performance_Score,Overtime_Hours,Skill_Level,Training_Hours,Manager_Rating,City,Country,Work_Mode,Project_Count,Satisfaction_Score,Attrition
,Ali Khan,Male,55.0,Single,Master,HR,Manager,19.0,2018.0,5.0,139670.0,,13208.0,10391.0,164316.0,78.0,19.0,10.0,3.6,67.0,Intermediate,67.0,3.6,,Pakistan,Hybrid,10.0,4.0,Yes
34.0,,Female,22.0,Single,Bachelor,Support,Assistant,0.0,2001.0,1.0,189352.0,1034.0,,28144.0,171879.0,64.0,23.0,18.0,4.1,7.0,Intermediate,26.0,1.7,Peshawar,Pakistan,Hybrid,2.0,9.9,No
35.0,Nasir Khan,Female,22.0,Single,Matric,Marketing,Executive,2.0,2005.0,2.0,136749.0,4066.0,9082.0,2041.0,147856.0,79.0,21.0,0.0,1.8,73.0,Intermediate,161.0,2.9,Quetta,,Hybrid,,3.6,No
36.0,Nida Malik,Female,36.0,Single,Bachelor,Marketing,Officer,16.0,2023.0,2.0,153877.0,21478.0,29814.0,22171.0,182998.0,74.0,17.0,1.0,3.1,54.0,Intermediate,,4.3,Islamabad,Pakistan,Onsite,11.0,2.5,Yes
37.0,Sana Iqbal,Male,55.0,Single,Intermediate,Operations,Executive,16.0,2005.0,,251201.0,1916.0,,7760.0,271728.0,46.0,19.0,,2.4,32.0,Advanced,144.0,2.3,Lahore,Pakistan,Onsite,11.0,8.4,Yes
38.0,Sana Iqbal,Female,45.0,Single,,IT,Assistant,19.0,2019.0,5.0,231615.0,14187.0,5546.0,15475.0,,41.0,4.0,12.0,4.3,21.0,Advanced,83.0,1.6,Lahore,Pakistan,Hybrid,11.0,,Yes
39.0,Imran Raza,Female,43.0,Married,Intermediate,HR,Manager,19.0,2019.0,2.0,,43367.0,22873.0,,89732.0,93.0,16.0,7.0,4.6,55.0,Intermediate,122.0,2.9,,Pakistan,Hybrid,7.0,4.0,Yes
40.0,Sana Iqbal,Male,59.0,Single,Master,Finance,Engineer,3.0,2008.0,1.0,268187.0,38145.0,6332.0,,294891.0,82.0,24.0,9.0,2.6,57.0,Advanced,49.0,1.3,Quetta,Pakistan,Remote,6.0,5.3,Yes
41.0,Bilal Khan,Male,40.0,Married,PhD,HR,Analyst,10.0,2000.0,4.0,199938.0,,24607.0,15464.0,230287.0,66.0,29.0,8.0,,27.0,Beginner,64.0,1.5,Peshawar,Pakistan,Hybrid,,9.6,No
42.0,Ayesha Noor,Female,63.0,Single,Master,Marketing,Officer,14.0,2001.0,0.0,105914.0,5465.0,19611.0,12833.0,118157.0,55.0,15.0,11.0,1.9,28.0,Advanced,57.0,,Karachi,Pakistan,Onsite,12.0,7.0,Yes
43.0,Faizan Ahmed,Female,47.0,Married,Matric,IT,,26.0,2019.0,3.0,243444.0,884.0,11418.0,12435.0,243311.0,72.0,,5.0,4.5,47.0,Advanced,71.0,4.6,Quetta,Pakistan,Hybrid,3.0,8.7,No
44.0,Imran Raza,Female,,Married,Master,HR,Analyst,23.0,2018.0,5.0,213468.0,7403.0,,25234.0,202933.0,86.0,14.0,2.0,1.6,63.0,Advanced,49.0,,Karachi,Pakistan,Remote,1.0,6.5,No
45.0,Usman Ali,Male,45.0,Single,Master,Support,Assistant,19.0,2015.0,2.0,93395.0,38052.0,1287.0,34415.0,98319.0,99.0,24.0,15.0,4.7,36.0,Advanced,57.0,1.3,Islamabad,Pakistan,Onsite,11.0,9.1,Yes
,Imran Raza,Male,50.0,Single,Matric,HR,Engineer,14.0,2008.0,2.0,156348.0,26772.0,15060.0,21109.0,177071.0,59.0,6.0,1.0,3.5,12.0,Intermediate,66.0,2.1,Karachi,Pakistan,Remote,,4.0,
47.0,Bilal Khan,Female,59.0,Single,Matric,Marketing,,5.0,2004.0,1.0,71572.0,,9238.0,33992.0,93707.0,58.0,,8.0,2.0,69.0,Beginner,42.0,4.9,Peshawar,Pakistan,Onsite,9.0,5.3,No
,Usman Ali,Male,20.0,Single,PhD,Finance,Manager,17.0,2023.0,2.0,157444.0,31172.0,29087.0,12965.0,204738.0,96.0,18.0,12.0,2.7,78.0,Beginner,103.0,4.6,Quetta,Pakistan,Onsite,5.0,4.1,Yes
49.0,Faizan Ahmed,Female,22.0,,,HR,Manager,21.0,2019.0,0.0,29319.0,26045.0,21122.0,1944.0,74542.0,78.0,14.0,7.0,1.4,66.0,Intermediate,161.0,1.1,Multan,Pakistan,Onsite,5.0,5.8,No
50.0,Bilal Khan,Female,36.0,Single,Bachelor,Operations,Assistant,20.0,2010.0,3.0,74433.0,1094.0,21035.0,34784.0,61778.0,98.0,9.0,19.0,3.4,,Advanced,142.0,2.2,Lahore,Pakistan,Remote,13.0,5.9,Yes
51.0,Sara Ahmed,Male,59.0,Single,Intermediate,,Engineer,23.0,2019.0,2.0,181010.0,4026.0,21173.0,21802.0,184407.0,73.0,,0.0,4.2,73.0,Advanced,194.0,3.8,Multan,Pakistan,Onsite,9.0,9.8,Yes
52.0,Ayesha Noor,Female,18.0,Married,,Sales,Executive,16.0,2013.0,4.0,67054.0,12110.0,23045.0,29292.0,72917.0,44.0,,19.0,,63.0,Intermediate,35.0,2.9,Islamabad,Pakistan,Hybrid,7.0,8.5,No
53.0,Faizan Ahmed,Male,55.0,Married,Master,Marketing,Manager,10.0,2012.0,4.0,118383.0,36419.0,325.0,8717.0,146410.0,62.0,4.0,17.0,1.7,58.0,Beginner,55.0,3.9,Peshawar,Pakistan,Hybrid,8.0,4.8,No
54.0,Sana Iqbal,,26.0,,Master,,Assistant,17.0,2002.0,5.0,194387.0,10774.0,12286.0,20190.0,197257.0,86.0,,16.0,3.2,46.0,Beginner,168.0,4.9,Quetta,Pakistan,Remote,12.0,4.3,Yes
55.0,Sara Ahmed,Female,22.0,Single,PhD,Marketing,Analyst,34.0,2001.0,5.0,277690.0,41647.0,3504.0,14008.0,308833.0,95.0,22.0,15.0,4.3,1.0,Intermediate,141.0,1.8,Quetta,Pakistan,Hybrid,3.0,6.5,No
56.0,Nida Malik,Male,,Married,Intermediate,Marketing,Assistant,30.0,2015.0,3.0,263634.0,1368.0,12730.0,9340.0,,68.0,17.0,14.0,4.4,60.0,,61.0,2.0,Karachi,,,12.0,7.4,Yes
57.0,Faizan Ahmed,Female,59.0,,,Sales,Engineer,27.0,2010.0,4.0,134371.0,21804.0,22009.0,9178.0,169006.0,43.0,5.0,12.0,4.0,54.0,Advanced,185.0,4.5,Multan,Pakistan,Hybrid,0.0,5.9,Yes
58.0,Nida Malik,,51.0,Married,,Support,,23.0,2002.0,4.0,237505.0,28044.0,15032.0,34969.0,,92.0,20.0,4.0,2.5,16.0,Advanced,171.0,1.0,,Pakistan,Hybrid,7.0,7.8,Yes
59.0,Usman Ali,Female,54.0,Married,Intermediate,,Assistant,35.0,2014.0,,139242.0,,28632.0,28229.0,143486.0,83.0,0.0,5.0,4.9,57.0,Beginner,69.0,2.8,Lahore,Pakistan,Hybrid,14.0,5.4,Yes
60.0,Sara Ahmed,Female,50.0,Single,Matric,,Executive,,2002.0,2.0,167301.0,34232.0,26172.0,8255.0,219450.0,61.0,8.0,13.0,4.3,42.0,Intermediate,183.0,2.2,Islamabad,Pakistan,Onsite,2.0,2.4,Yes
61.0,Ayesha Noor,Female,42.0,Married,Master,Marketing,Officer,32.0,2018.0,4.0,286944.0,49253.0,22184.0,7841.0,350540.0,54.0,24.0,16.0,4.4,63.0,Advanced,52.0,4.5,Multan,Pakistan,Hybrid,10.0,5.8,No
62.0,Sana Iqbal,Male,59.0,Single,Master,Support,Manager,29.0,2003.0,2.0,296735.0,21256.0,15117.0,20278.0,312830.0,69.0,5.0,19.0,4.4,45.0,Intermediate,,2.6,Quetta,Pakistan,Remote,9.0,1.2,No
63.0,,Female,46.0,Single,PhD,Support,Executive,36.0,2020.0,0.0,149913.0,16022.0,26066.0,16488.0,175513.0,67.0,24.0,17.0,3.9,68.0,Intermediate,84.0,2.9,Lahore,Pakistan,Remote,1.0,1.6,Yes
64.0,Bilal Khan,Male,,Single,Intermediate,Sales,,12.0,2021.0,1.0,122353.0,14988.0,17740.0,15591.0,139490.0,81.0,12.0,1.0,3.0,60.0,Beginner,112.0,3.8,Multan,Pakistan,Onsite,8.0,3.8,No
65.0,Sana Iqbal,Male,26.0,Married,,HR,Executive,15.0,2004.0,5.0,115609.0,25412.0,6052.0,28067.0,119006.0,63.0,13.0,10.0,2.8,39.0,Beginner,15.0,2.7,Karachi,Pakistan,Onsite,7.0,8.2,No
66.0,Zainab Ali,Male,20.0,,Intermediate,Marketing,Executive,8.0,2008.0,2.0,109356.0,14864.0,25640.0,29883.0,119977.0,86.0,18.0,1.0,4.0,4.0,Beginner,162.0,2.2,,Pakistan,Hybrid,3.0,2.4,Yes
67.0,Imran Raza,Male,32.0,Single,,Operations,Engineer,12.0,2006.0,1.0,34990.0,,10653.0,,49563.0,89.0,5.0,8.0,2.9,32.0,Intermediate,131.0,,Karachi,Pakistan,Hybrid,4.0,5.1,
68.0,Ali Khan,Male,21.0,Married,Bachelor,Marketing,Officer,6.0,2022.0,,161964.0,11541.0,5467.0,39864.0,139108.0,69.0,0.0,15.0,4.6,61.0,Beginner,183.0,4.5,Islamabad,Pakistan,Onsite,13.0,7.8,Yes
69.0,Ayesha Noor,Female,62.0,Single,Intermediate,IT,Assistant,34.0,,,291947.0,47775.0,9641.0,29941.0,319422.0,83.0,15.0,7.0,1.9,25.0,Intermediate,84.0,2.4,Karachi,Pakistan,Remote,5.0,3.8,Yes
70.0,Sara Ahmed,Male,55.0,Single,Intermediate,Finance,Analyst,25.0,2012.0,3.0,182681.0,2687.0,,3171.0,191704.0,52.0,1.0,2.0,4.1,26.0,,179.0,4.5,,Pakistan,Remote,1.0,3.9,No
71.0,Zainab Ali,Female,37.0,Single,PhD,Sales,Officer,8.0,2022.0,2.0,222261.0,29041.0,13367.0,7539.0,257130.0,52.0,3.0,17.0,2.0,62.0,Advanced,51.0,1.8,Multan,Pakistan,Remote,9.0,9.8,No
72.0,Ayesha Noor,Female,40.0,Married,Bachelor,HR,Analyst,34.0,,4.0,128138.0,35514.0,17990.0,20572.0,161070.0,51.0,18.0,14.0,2.9,1.0,Advanced,85.0,4.9,Multan,Pakistan,Hybrid,12.0,9.7,No
73.0,Sara Ahmed,Male,54.0,Married,Master,Operations,Analyst,23.0,2023.0,4.0,296717.0,17508.0,19922.0,12088.0,322059.0,63.0,16.0,1.0,1.3,45.0,Advanced,,4.5,,Pakistan,Hybrid,1.0,7.6,Yes
74.0,Hina Shah,Female,,Single,,Support,Analyst,32.0,2014.0,2.0,253130.0,8224.0,,17906.0,249448.0,70.0,,16.0,,19.0,Advanced,,4.5,,Pakistan,Onsite,1.0,9.1,No
75.0,,Female,25.0,Single,PhD,,Manager,20.0,2011.0,5.0,214624.0,21538.0,12365.0,8265.0,240262.0,66.0,12.0,1.0,3.1,36.0,,65.0,3.7,Peshawar,Pakistan,Hybrid,2.0,4.5,Yes
76.0,Nida Malik,Male,54.0,Single,Matric,Operations,Officer,21.0,2009.0,5.0,192810.0,11472.0,10009.0,12662.0,201629.0,90.0,,0.0,,38.0,Beginner,96.0,3.3,Islamabad,Pakistan,Remote,4.0,2.6,No
77.0,Ayesha Noor,,62.0,Married,,Marketing,,38.0,2016.0,5.0,75933.0,43382.0,16211.0,12064.0,123462.0,95.0,2.0,13.0,2.3,43.0,Intermediate,52.0,,Multan,Pakistan,Onsite,6.0,7.1,No
78.0,Hina Shah,Male,50.0,Single,Bachelor,,,18.0,,0.0,163080.0,20042.0,18598.0,,169894.0,85.0,24.0,7.0,1.8,14.0,Advanced,59.0,,Multan,Pakistan,Onsite,2.0,8.1,No
79.0,Sara Ahmed,Male,50.0,Single,Intermediate,HR,Engineer,31.0,2010.0,4.0,39285.0,49510.0,,19174.0,83540.0,81.0,4.0,1.0,2.7,30.0,Beginner,61.0,1.1,Karachi,Pakistan,Remote,7.0,9.1,Yes
80.0,Nida Malik,Male,24.0,Single,Matric,Marketing,Engineer,4.0,2002.0,1.0,285249.0,848.0,22126.0,29417.0,,65.0,,10.0,3.6,49.0,Advanced,89.0,2.7,Lahore,Pakistan,Hybrid,5.0,6.1,No
81.0,Sana Iqbal,Female,39.0,Married,Matric,Finance,Analyst,11.0,2005.0,0.0,218633.0,40679.0,10043.0,25702.0,243653.0,84.0,17.0,4.0,1.6,6.0,Beginner,107.0,1.7,Multan,Pakistan,Hybrid,10.0,6.4,No
82.0,,Female,,Married,,IT,Manager,39.0,2021.0,1.0,74073.0,19931.0,9499.0,11768.0,91735.0,92.0,27.0,5.0,2.6,38.0,Intermediate,45.0,1.6,Quetta,Pakistan,Hybrid,5.0,6.9,No
83.0,Nida Malik,Female,63.0,Married,Matric,Finance,Assistant,5.0,2023.0,2.0,39210.0,18646.0,18603.0,3457.0,,60.0,7.0,6.0,,0.0,Beginner,47.0,4.2,Multan,Pakistan,Hybrid,6.0,7.8,No
84.0,Ayesha Noor,Female,32.0,Married,Master,Finance,Assistant,17.0,,2.0,27012.0,38802.0,23852.0,5785.0,83881.0,87.0,15.0,2.0,4.2,6.0,Beginner,137.0,2.3,Peshawar,Pakistan,Onsite,14.0,9.9,No
,Zainab Ali,Male,38.0,Married,Bachelor,IT,Manager,6.0,2011.0,2.0,265513.0,40577.0,25873.0,22422.0,309541.0,94.0,7.0,11.0,3.5,70.0,Intermediate,114.0,2.7,Islamabad,Pakistan,Onsite,1.0,7.2,No
86.0,Bilal Khan,Male,42.0,Single,Intermediate,Marketing,Engineer,18.0,2002.0,4.0,78830.0,12821.0,28189.0,497.0,119343.0,53.0,6.0,2.0,4.3,8.0,Advanced,19.0,4.8,Multan,Pakistan,Onsite,7.0,9.7,Yes
87.0,Sana Iqbal,Female,34.0,Single,Intermediate,Finance,Executive,14.0,2001.0,5.0,297951.0,25780.0,26853.0,31904.0,318680.0,77.0,,13.0,1.3,58.0,Advanced,78.0,,Quetta,Pakistan,Remote,12.0,9.1,No
88.0,Faizan Ahmed,Male,24.0,Single,Intermediate,Sales,Officer,8.0,2021.0,0.0,204349.0,12882.0,27390.0,2228.0,242393.0,75.0,23.0,9.0,1.7,74.0,Advanced,119.0,3.2,Quetta,Pakistan,Remote,6.0,3.3,No
89.0,Zainab Ali,Female,36.0,Single,Matric,Sales,Officer,19.0,2002.0,1.0,294359.0,44733.0,9413.0,17980.0,330525.0,89.0,,6.0,4.7,22.0,Beginner,24.0,4.9,Islamabad,Pakistan,Onsite,9.0,8.7,Yes
90.0,Usman Ali,Male,24.0,Married,Bachelor,IT,Analyst,19.0,2012.0,3.0,238206.0,31348.0,9669.0,,249718.0,49.0,29.0,0.0,3.6,,Beginner,29.0,5.0,Islamabad,Pakistan,Remote,7.0,3.6,Yes
91.0,Sara Ahmed,,57.0,Married,Intermediate,,Analyst,3.0,,5.0,122340.0,42381.0,8322.0,21759.0,,74.0,24.0,11.0,2.6,37.0,Advanced,130.0,1.3,Karachi,Pakistan,Hybrid,4.0,7.8,Yes
92.0,Usman Ali,Male,62.0,Single,Bachelor,Marketing,Analyst,9.0,2008.0,0.0,102322.0,48391.0,3590.0,22446.0,131857.0,53.0,17.0,7.0,2.5,17.0,,,1.6,Multan,Pakistan,Remote,,1.9,Yes
93.0,Zainab Ali,Male,41.0,Married,,HR,Engineer,39.0,2022.0,1.0,65644.0,7889.0,7147.0,10844.0,69836.0,56.0,,0.0,4.0,15.0,Advanced,,4.7,Islamabad,Pakistan,Remote,5.0,,Yes
94.0,Nida Malik,Male,28.0,,Master,Marketing,Engineer,0.0,2016.0,3.0,91929.0,10530.0,12833.0,33566.0,81726.0,41.0,15.0,18.0,4.5,45.0,Advanced,169.0,,Multan,Pakistan,Onsite,11.0,4.2,No
95.0,Faizan Ahmed,Female,58.0,Married,Master,IT,,34.0,2013.0,0.0,236984.0,23868.0,8145.0,38158.0,230839.0,65.0,24.0,15.0,3.1,4.0,Advanced,83.0,1.9,Peshawar,Pakistan,Remote,2.0,5.2,No
96.0,Sana Iqbal,Female,18.0,Single,Master,HR,Officer,23.0,2019.0,0.0,85418.0,35108.0,17472.0,5513.0,132485.0,56.0,1.0,15.0,,45.0,Advanced,26.0,4.3,Peshawar,Pakistan,Onsite,9.0,3.1,Yes
97.0,Sana Iqbal,Male,,Single,Matric,Sales,Assistant,6.0,2007.0,,73318.0,19288.0,17050.0,16490.0,,95.0,1.0,4.0,4.5,68.0,Intermediate,33.0,3.6,Islamabad,Pakistan,Remote,7.0,2.3,No
98.0,Sana Iqbal,Female,57.0,Single,Intermediate,Finance,Assistant,,2003.0,2.0,70425.0,5052.0,25678.0,27127.0,74028.0,,27.0,12.0,2.6,42.0,Intermediate,141.0,2.5,Peshawar,Pakistan,Remote,11.0,3.3,Yes
99.0,Faizan Ahmed,Male,61.0,Married,Matric,Support,Analyst,22.0,2000.0,5.0,250593.0,12398.0,18474.0,755.0,280710.0,87.0,14.0,7.0,4.6,55.0,Advanced,103.0,1.6,Multan,Pakistan,Hybrid,0.0,9.0,
100.0,Ali Khan,Male,19.0,Single,Bachelor,Sales,Assistant,0.0,2009.0,0.0,,25152.0,6807.0,6241.0,,40.0,29.0,18.0,4.1,67.0,Advanced,81.0,2.4,Lahore,Pakistan,Onsite,3.0,5.1,Yes
101.0,Faizan Ahmed,Male,32.0,Single,Master,Marketing,Manager,23.0,2012.0,5.0,,29173.0,14397.0,29993.0,262891.0,81.0,2.0,10.0,2.3,75.0,Intermediate,155.0,3.3,,Pakistan,Hybrid,,9.1,
102.0,Bilal Khan,Male,38.0,,,Marketing,Assistant,19.0,2001.0,,205901.0,,29404.0,6247.0,266872.0,76.0,20.0,19.0,1.4,70.0,Intermediate,167.0,2.3,Islamabad,Pakistan,Hybrid,,7.3,No
103.0,Faizan Ahmed,Female,41.0,Single,Matric,Support,Executive,31.0,2004.0,5.0,161501.0,,28019.0,35000.0,186934.0,87.0,19.0,13.0,3.0,69.0,Intermediate,163.0,4.1,Lahore,Pakistan,Remote,1.0,,
104.0,Zainab Ali,Male,34.0,Married,PhD,IT,Engineer,30.0,,1.0,275739.0,8928.0,26742.0,4040.0,307369.0,41.0,15.0,19.0,,43.0,Intermediate,154.0,2.9,Peshawar,Pakistan,Onsite,11.0,7.9,
105.0,Ali Khan,Female,64.0,Married,PhD,Finance,Assistant,32.0,2000.0,2.0,238143.0,37003.0,11047.0,8717.0,277476.0,53.0,1.0,5.0,4.3,16.0,Advanced,70.0,2.0,Quetta,Pakistan,Onsite,9.0,3.9,No
106.0,Sana Iqbal,Male,26.0,Married,Matric,Finance,Analyst,35.0,2004.0,0.0,36784.0,25406.0,2077.0,24659.0,39608.0,70.0,27.0,11.0,1.2,13.0,Advanced,,4.6,Quetta,Pakistan,Onsite,12.0,3.6,No
107.0,,Male,52.0,Single,Intermediate,HR,Analyst,17.0,2023.0,2.0,238610.0,29845.0,21931.0,24128.0,266258.0,83.0,15.0,15.0,4.8,65.0,Beginner,143.0,2.4,Multan,Pakistan,Hybrid,9.0,8.2,Yes
108.0,Zainab Ali,Female,37.0,Married,Bachelor,HR,Engineer,36.0,2014.0,3.0,127314.0,27763.0,6865.0,,145031.0,82.0,29.0,9.0,3.0,75.0,Beginner,139.0,1.0,Quetta,Pakistan,Remote,11.0,8.6,Yes
