Employee_ID,Name,Age,Gender,Department,Salary,Attendance_Percent,Joining_Date
304,Sara Ahmed,,Male,Marketing,143426,54.0,2020-02-02
305,Usman Ali,25,Female,Sales,,45.0,2022-01-15
306,Ali Khan,,Female,HR,invalid,47.0,2020-02-02
307,Imran Raza,48,Female,Operations,,71.0,
308,Hina Shah,,Female,Operations,invalid,61.0,
309,Nasir Khan,34,Female,Operations,,,15-02-2021
310,Sara Ahmed,,Male,HR,invalid,,2022-01-15
311,Sara Ahmed,,Female,Sales,105481,,2020-02-02
312,Hina Shah,,Male,Operations,,89.0,2020/03/10
313,Sara Ahmed,thirty,Female,HR,500000,,2020/03/10
314,Imran Raza,,Female,Finance,149618,,
315,Sara Ahmed,thirty,Male,Operations,129408,,2020/03/10
316,Ayesha Noor,23,Male,HR,60790,41.0,
317,Bilal Khan,thirty,Male,IT,500000,37.0,
318,Sara Ahmed,,Female,Operations,,87.0,2022-01-15
319,Imran Raza,23,Male,IT,500000,,
320,Imran Raza,,Female,Sales,invalidUSD,71.0,2020-02-02
321,Ali Khan,49,Female,IT,,98.0,2022-01-15
322,Usman Ali,,Male,Sales,500000,88.0,2022-01-15
323,Nasir babar,thirty,Male,Sales,60014,,2020-02-02
324,Nasir Khan,thirty,Male,HR,500000,70.0,2022-01-15
325,Zainab Ali,29,Female,Marketing,invalid,,
326,Bilal Khan,,Male,Finance,invalid,93.0,
327,Imran Raza,,Male,IT,,,2022-01-15
328,Nida Malik,,Female,Sales,invalid,42.0,2022-01-15
329,Ali Khan,43,Female,Finance,137027,,2020/03/10
330,Imran Raza,thirty,Female,Operations,107612,,
331,Imran Raza,,Female,Finance,invalid,,
332,Bilal Khan,thirty,Male,Marketing,500000,79.0,2020/03/10
333,Ali Khan,36,Female,Sales,,51.0,2022-01-15
334,Nida Malik,29,Female,HR,,,
335,Ali Khan,,Female,IT,invalid,63.0,2020-02-02
336,Usman Ali,thirty,Female,Marketing,500000,62.0,15-02-2021
337,Imran Raza,57,Male,IT,500000,69.0,
338,Usman Ali,,Male,Marketing,500000,56.0,15-02-2021
339,Bilal Khan,53,Male,Operations,500000,,15-02-2021
340,Zainab Ali,23,Female,HR,invalid,70.0,2020-02-02
341,Zainab Ali,,Male,Marketing,invalid,56.0,
342,Nasir Khan,42,Female,Marketing,131210,,2022-01-15
343,Bilal Khan,thirty,Male,HR,,,15-02-2021
344,Usman Ali,33,Female,IT,invalid,93.0,2020/03/10
345,Imran Raza,,Female,Sales,,70.0,15-02-2021
346,Ayesha Noor,24,Female,Marketing,58183,41.0,2020-02-02
347,Nasir babar,,Female,Finance,51401,93.0,2022-01-15
348,Bilal Khan,thirty,Female,Marketing,54224,,2020-02-02
349,Sara Ahmed,50,Male,HR,,,
350,Ali Khan,42,Male,Marketing,500000,,2020-02-02
351,Ayesha Noor,55,Male,IT,500000,,
352,Nasir Khan,,Female,Sales,,64.0,2022-01-15
353,Imran Raza,thirty,Male,Operations,500000,,2022-01-15
354,Nida Malik,,Female,Sales,invalid,,15-02-2021
355,Nida Malik,,Female,IT,,,2022-01-15
356,Nasir Khan,48,Female,IT,,,2020/03/10
357,Bilal Khan,thirty,Male,IT,500000,55.0,2022-01-15
358,Nasir Khan,52,Female,Operations,500000,57.0,15-02-2021
359,Hina Shah,,Male,Sales,65646,,15-02-2021
360,Ali Khan,37,Male,Marketing,,49.0,2020-02-02
361,Nasir Khan,,Female,Sales,500000,,15-02-2021
362,Ali Khan,,Female,Operations,34977,,2020-02-02
363,Ali Khan,thirty,Male,Marketing,,,2020-02-02
364,Imran Raza,thirty,Male,Operations,37474,94.0,2020-02-02
365,Ayesha Noor,58,Female,HR,,,2020/03/10
366,Ayesha Noor,,Female,Marketing,500000,,2022-01-15
367,Usman Ali,,Male,Operations,invalid,73.0,2020-02-02
368,Usman Ali,thirty,Male,Operations,41215,,
369,Hina Shah,29,Male,Finance,,,2020-02-02
370,Faizan Ahmed,55,Male,HR,invalid,,2022-01-15
371,Faizan Ahmed,,Male,Finance,500000,71.0,2020-02-02
372,Hina Shah,thirty,Male,Operations,83198,38.0,2020/03/10
373,Faizan Ahmed,,Female,IT,500000,58.0,2020/03/10
374,Zainab Ali,,Female,Sales,500000,,2020/03/10
375,Ali Khan,,Female,IT,invalid,85.0,
376,Nida Malik,,Male,Marketing,invalid,44.0,
377,Ali Khan,thirty,Male,IT,invalid,38.0,2020-02-02
378,Usman Ali,50,Female,HR,,,2020/03/10
379,Zainab Ali,52,Female,Marketing,500000,,15-02-2021
380,Faizan Ahmed,thirty,Female,IT,invalid,61.0,15-02-2021
381,Usman Ali,52,Female,Marketing,invalid,44.0,15-02-2021
382,Imran Raza,,Male,IT,140182,88.0,2020-02-02
383,Sara Ahmed,43,Female,Finance,500000,,2020/03/10
384,Nasir Khan,46,Female,Operations,500000,75.0,15-02-2021
385,Ayesha Noor,32,Male,Sales,500000,90.0,2020/03/10
386,Zainab Ali,,Male,Marketing,500000,53.0,2022-01-15
387,Zainab Ali,thirty,Male,IT,invalid,,2022-01-15
388,Ayesha Noor,thirty,Male,Operations,,50.0,15-02-2021
389,Faizan Ahmed,thirty,Female,Sales,,59.0,2022-01-15
390,Hina Shah,thirty,Male,Operations,103442,,15-02-2021
391,Faizan Ahmed,,Male,Marketing,invalid,69.0,
392,Hina Shah,45,Female,Finance,,56.0,2020-02-02
393,Ali Khan,51,Female,HR,110184,,15-02-2021
394,Imran Raza,50,Female,Finance,invalid,,15-02-2021
395,Usman Ali,thirty,Male,Marketing,500000,,2020/03/10
396,Faizan Ahmed,33,Male,Operations,47612,36.0,15-02-2021
397,Nasir babar,,Male,Operations,,36.0,2022-01-15
398,Nasir babar,thirty,Male,HR,500000,69.0,
399,Nasir Khan,,Male,Marketing,50733,,2020/03/10
400,Bilal Khan,46,Male,Marketing,,86.0,2020/03/10
401,Bilal Khan,thirty,Male,IT,37564,,2022-01-15
402,Ayesha Noor,32,Female,HR,500000,,2020-02-02
403,Ali Khan,thirty,Male,HR,invalid,,15-02-2021
404,Nasir Khan,,Female,Marketing,500000,66.0,2022-01-15
405,Faizan Ahmed,32,Male,HR,49315,50.0,
406,Ayesha Noor,,Male,Sales,,,15-02-2021
407,Usman Ali,,Male,Sales,133529,,
408,Faizan Ahmed,thirty,Female,Operations,invalid,,15-02-2021
409,Ali Khan,thirty,Male,Marketing,500000,,2020-02-02
410,Nasir babar,59,Male,Finance,,,2020-02-02
411,Bilal Khan,,Female,HR,134180,,2022-01-15
412,Zainab Ali,,Female,Sales,invalid,,2022-01-15
413,Nida Malik,,Female,Finance,500000,,2020-02-02
414,Faizan Ahmed,60,Female,Marketing,,,15-02-2021
415,Nasir babar,thirty,Male,Operations,96491,,2022-01-15
416,Imran Raza,,Female,Operations,,,2022-01-15
417,Zainab Ali,26,Male,Operations,invalid,,2022-01-15
418,Ali Khan,,Male,Finance,,,2020-02-02
419,Ayesha Noor,thirty,Female,IT,500000,93.0,2022-01-15
420,Nasir babar,52,Female,IT,78134,,
421,Nida Malik,35,Male,Operations,500000USD,,
422,Ali Khan,58,Female,IT,500000,,2022-01-15
423,Zainab Ali,50,Male,Marketing,,,
424,Nasir babar,35,Female,Marketing,invalid,,2020-02-02
425,Zainab Ali,thirty,Male,Marketing,500000,61.0,2020-02-02
426,Ali Khan,,Male,Operations,500000,85.0,2020-02-02
427,Usman Ali,thirty,Female,Marketing,invalid,,
428,Nasir Khan,thirty,Female,Marketing,119155,,2020-02-02
429,Imran Raza,50,Male,Sales,,,
430,Nasir Khan,36,Female,IT,86900,,15-02-2021
431,Ali Khan,thirty,Male,Sales,52975,,2022-01-15
432,Faizan Ahmed,,Female,IT,,96.0,2020/03/10
433,Ali Khan,27,Female,Sales,106220,,2020-02-02
434,Zainab Ali,thirty,Female,Sales,,71.0,2020/03/10
435,Nasir babar,30,Female,HR,invalid,81.0,15-02-2021
436,Imran Raza,thirty,Female,Finance,500000,,15-02-2021
437,Nasir babar,thirty,Female,Marketing,500000,,2020/03/10
438,Ali Khan,thirty,Male,IT,NoneUSD,,15-02-2021
439,Hina Shah,60,Male,IT,invalid,86.0,
440,Faizan Ahmed,20,Female,HR,500000,95.0,
441,Hina Shah,32,Female,HR,61313,,2020/03/10
442,Bilal Khan,thirty,Female,Sales,500000,,
443,Zainab Ali,22,Female,Marketing,invalid,96.0,2022-01-15
444,Nida Malik,51,Male,Marketing,,78.0,2020-02-02
445,Nida Malik,,Male,Operations,invalid,,2020-02-02
446,Usman Ali,thirty,Male,Operations,61725,,2022-01-15
447,Imran Raza,59,Male,Finance,invalid,,15-02-2021
448,Bilal Khan,,Female,HR,41609,45.0,2020/03/10
449,Usman Ali,30,Male,Sales,,50.0,2022-01-15
450,Nida Malik,22,Male,Operations,35324,,15-02-2021
451,Bilal Khan,,Male,IT,56482,,2020-02-02
452,Usman Ali,thirty,Female,Finance,65102,60.0,15-02-2021
453,Imran Raza,,Male,Sales,121902,,15-02-2021
454,Nida Malik,39,Female,Finance,500000USD,61.0,
455,Nasir babar,51,Male,Marketing,,37.0,2020/03/10
456,Usman Ali,31,Female,HR,500000,,2020-02-02
457,Bilal Khan,thirty,Female,IT,500000,42.0,15-02-2021
458,Bilal Khan,54,Male,Finance,500000,50.0,2022-01-15
459,Hina Shah,thirty,Male,IT,,,
460,Zainab Ali,thirty,Male,Sales,500000,,2020/03/10
461,Nasir babar,,Male,Marketing,invalid,,
462,Usman Ali,24,Female,Sales,500000,,2022-01-15
463,Imran Raza,thirty,Male,Sales,500000,,2020/03/10
464,Nasir Khan,thirty,Female,Operations,55381,93.0,2020/03/10
465,Bilal Khan,49,Female,Finance,500000USD,55.0,2020/03/10
